wav_file,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std
Ses01M_impro07_F000,7,0.014169704,0.024095565,0.017927699,0.016221065,0.3950617283950617,-0.003790260052483063,0.4314163595306895,0.5031852406694207
Ses01M_impro07_F001,2,0.14226286,0.23140748,0.17003636,0.1568562,0.3802588996763754,1.4182147569954395,38.2042231298035,131.13475695370994
Ses01M_impro07_F002,8,0.04711974,0.07039806,0.05824387,0.0390916,0.16806722689075632,-0.008617510502517689,3.333993957325365,3.903291587311123
Ses01M_impro07_F003,2,0.070579454,0.12513891,0.087756194,0.08913436,0.350210970464135,0.007267343335115584,11.892060658617934,24.32296956210292
Ses01M_impro07_F004,2,0.14177571,0.22262722,0.17104131,0.14222325,0.28870292887029286,1.6059881309047341,34.54293468003146,68.22041666393342
Ses01M_impro07_F005,2,0.09163188,0.15924667,0.11194052,0.11319051,0.3562091503267974,0.6249993457458913,19.069037016513473,49.30330828356159
Ses01M_impro07_F006,2,0.051564094,0.092144586,0.06432896,0.06582158,0.3275862068965517,-0.012155907825217582,6.49855367881114,18.213324825309467
Ses01M_impro07_F007,2,0.060026836,0.11271756,0.0743522,0.084589206,0.3445378151260504,-0.17175603716168553,9.9679104487808,20.28169049461162
Ses01M_impro07_F008,2,0.026283288,0.038642477,0.033412147,0.019448638,0.14150943396226415,0.0036297353744885186,0.9882442899554934,1.8769659716046827
Ses01M_impro07_F009,2,0.06646912,0.10620981,0.08233012,0.06698742,0.23897911832946636,0.006592877070943359,8.022939164303095,16.039784632263434
Ses01M_impro07_F010,7,0.028139042,0.03945171,0.035053547,0.018221404,0.13709677419354838,-0.01578023329784628,0.9823907035325027,1.7356100195691908
Ses01M_impro07_F011,2,0.014475211,0.025234753,0.018144136,0.017516928,0.3735408560311284,-0.002837434067259892,0.48094020943017723,1.7174780715625573
Ses01M_impro07_F012,7,0.016615065,0.026568547,0.020322174,0.017093468,0.259375,-9.550528545787529e-05,0.5030173486515148,2.2384326390886677
Ses01M_impro07_F013,2,0.015193617,0.023993697,0.019096578,0.0145181315,0.17123287671232876,-0.004936697678203927,0.4070501974220703,1.1881728751428697
Ses01M_impro07_F014,2,0.03182754,0.06671594,0.03999532,0.053378697,0.411946446961895,-0.008437318683718331,3.694479661815785,10.216817859969105
Ses01M_impro07_F015,2,0.027981756,0.04425252,0.035009097,0.027003456,0.2782608695652174,-0.008694910320627969,1.3785659103299601,3.427286868536991
Ses01M_impro07_F016,2,0.014781066,0.027565647,0.018714037,0.020222323,0.3420074349442379,-0.006483186098193983,0.5981261030259412,1.3247119109819936
Ses01M_impro07_F017,8,0.015143292,0.025515916,0.019358914,0.016609576,0.28996865203761757,-0.005950581908109598,0.4815892610288878,1.3283402465223522
Ses01M_impro07_F018,2,0.023964526,0.040209863,0.030156903,0.026544405,0.28536585365853656,-0.003429729986237362,1.1912813741032533,2.7783265437746087
